short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
nb_permit_res_units,Units authorized by new residential building permits,MN 01 - Financial District,491,898,321,696,0,0,0,0,0,0,33,171,18,162,6,1544,256,582,0,209,53,0,892,2
nb_permit_res_units,Units authorized by new residential building permits,MN 02 - Greenwich Village/Soho,31,18,388,192,0,0,0,0,0,0,0,4,27,275,367,84,338,319,368,49,100,106,26,393
nb_permit_res_units,Units authorized by new residential building permits,MN 03 - Lower East Side/Chinatown,229,366,216,630,0,0,0,0,0,0,78,19,446,299,974,1653,157,389,212,133,195,589,2717,83
nb_permit_res_units,Units authorized by new residential building permits,MN 04 - Clinton/Chelsea,1151,2092,892,1220,0,0,0,0,0,0,367,1490,2116,864,3681,2321,781,501,555,2284,290,461,890,313
nb_permit_res_units,Units authorized by new residential building permits,MN 05 - Midtown,1174,0,1025,331,0,0,0,0,0,0,14,271,569,736,1054,799,602,334,134,99,538,41,701,120
nb_permit_res_units,Units authorized by new residential building permits,MN 06 - Stuyvesant Town/Turtle Bay,495,409,612,146,0,0,0,0,0,0,10,0,0,203,1331,774,674,276,275,202,539,108,536,59
nb_permit_res_units,Units authorized by new residential building permits,MN 07 - Upper West Side,441,200,174,315,0,0,0,0,60,0,0,535,1131,258,386,1243,322,212,100,342,131,125,252,71
nb_permit_res_units,Units authorized by new residential building permits,MN 08 - Upper East Side,241,262,457,119,0,0,0,0,0,0,0,58,31,378,384,616,126,296,525,165,32,117,1329,181
nb_permit_res_units,Units authorized by new residential building permits,MN 09 - Morningside Heights/Hamilton,2,13,170,0,0,0,0,0,0,0,0,0,126,57,501,130,2,222,151,102,390,238,518,0
nb_permit_res_units,Units authorized by new residential building permits,MN 10 - Central Harlem,261,176,235,627,0,0,0,0,0,0,77,27,322,202,187,534,124,272,431,496,411,252,691,56
nb_permit_res_units,Units authorized by new residential building permits,MN 11 - East Harlem,334,485,1128,289,0,0,0,0,0,0,327,272,500,55,172,624,402,632,127,823,368,544,1841,42
