short_name,long_name,Sub-Borough Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
lp_all,"Notices of foreclosure, all residential properties",Greenwich Village/Financial District,8,18,71,14,17,19,19,25,35,274,91,78,68,75,61,54,42,46,53,23,18,139,36
lp_all,"Notices of foreclosure, all residential properties",Lower East Side/Chinatown,6,2,6,3,2,1,5,9,5,20,24,8,8,13,9,14,7,26,13,5,4,9,5
lp_all,"Notices of foreclosure, all residential properties",Chelsea/Clinton/Midtown,13,17,18,26,21,14,29,37,46,322,351,123,75,71,73,46,54,44,45,51,13,24,42
lp_all,"Notices of foreclosure, all residential properties",Stuyvesant Town/Turtle Bay,17,24,23,22,16,20,20,21,30,107,49,51,54,37,31,49,30,34,42,129,22,88,32
lp_all,"Notices of foreclosure, all residential properties",Upper West Side,13,22,24,27,19,16,23,25,24,53,70,61,29,53,41,30,31,28,31,33,8,11,25
lp_all,"Notices of foreclosure, all residential properties",Upper East Side,23,21,36,25,24,26,27,23,24,68,142,58,41,53,44,33,38,44,44,36,27,20,24
lp_all,"Notices of foreclosure, all residential properties",Morningside Heights/Hamilton Heights,61,46,31,27,19,21,18,15,44,32,54,64,26,40,28,16,20,14,8,9,10,18,7
lp_all,"Notices of foreclosure, all residential properties",Central Harlem,146,60,70,67,47,40,43,60,86,104,110,88,70,93,62,57,45,38,45,49,25,22,33
lp_all,"Notices of foreclosure, all residential properties",East Harlem,24,16,5,7,9,6,5,8,22,79,31,25,28,22,10,4,12,8,8,13,1,8,17
lp_all,"Notices of foreclosure, all residential properties",Washington Heights/Inwood,32,20,20,8,23,12,22,36,20,34,44,27,36,22,22,10,11,13,8,6,,4,8
lp_all,"Notices of foreclosure, all residential properties",Highbridge/South Concourse,27,46,31,23,30,29,54,58,70,80,67,59,68,88,74,57,67,38,24,41,14,19,27
lp_all,"Notices of foreclosure, all residential properties",Mott Haven/Hunts Point,57,67,58,48,58,60,63,92,83,132,128,85,122,141,110,93,77,70,43,67,22,25,42
lp_all,"Notices of foreclosure, all residential properties",Morrisania/Belmont,72,99,112,105,84,74,137,190,157,165,205,156,157,243,163,188,132,115,78,51,44,22,63
lp_all,"Notices of foreclosure, all residential properties",University Heights/Fordham,43,62,55,44,36,43,63,59,76,85,84,60,81,74,83,79,50,53,34,27,8,18,29
lp_all,"Notices of foreclosure, all residential properties",Kingsbridge Heights/Mosholu,36,52,53,43,36,29,50,59,57,57,59,60,62,80,58,41,48,25,20,28,4,9,24
lp_all,"Notices of foreclosure, all residential properties",Riverdale/Kingsbridge,15,19,21,27,23,18,32,32,45,76,45,46,46,59,51,40,36,28,19,27,12,10,27
lp_all,"Notices of foreclosure, all residential properties",Soundview/Parkchester,208,243,252,226,187,152,223,325,287,367,394,297,339,460,350,379,331,252,205,170,80,72,121
lp_all,"Notices of foreclosure, all residential properties",Throgs Neck/Co-op City,61,67,77,89,85,75,108,140,182,223,245,203,184,287,206,241,214,135,156,124,45,53,93
lp_all,"Notices of foreclosure, all residential properties",Pelham Parkway,92,116,138,152,107,106,145,185,192,229,225,188,217,258,192,227,193,147,121,96,55,55,85
